run,nearest_neighbor_chamfer,mean_10_nn_chamfer,mean_all_chamfer,medoid_chamfer,medoid_run,ood_score
1,0.010357541032135487,0.013690590858459473,0.04865063726902008,0.041591912508010864,169,0.013690590858459473
2,0.010572250001132488,0.01343235932290554,0.03794974461197853,0.029901612550020218,169,0.01343235932290554
3,0.010504302568733692,0.012163753621280193,0.037171244621276855,0.022878078743815422,169,0.012163753621280193
4,0.010876658372581005,0.013760733418166637,0.03628207743167877,0.025077423080801964,169,0.013760733418166637
5,0.010261986404657364,0.012191282585263252,0.04276628792285919,0.030164038762450218,169,0.012191282585263252
6,0.010317728854715824,0.0132074523717165,0.038106419146060944,0.023702824488282204,169,0.0132074523717165
7,0.010882643051445484,0.01363408099859953,0.03732367604970932,0.024635054171085358,169,0.01363408099859953
8,0.012281513772904873,0.01408781111240387,0.051625486463308334,0.048639047890901566,169,0.01408781111240387
9,0.010721694678068161,0.014059314504265785,0.037872955203056335,0.028307748958468437,169,0.014059314504265785
10,0.010494369082152843,0.012107549235224724,0.04571130499243736,0.03461304306983948,169,0.012107549235224724
11,0.012996241450309753,0.01513952948153019,0.05261416733264923,0.04217882454395294,169,0.01513952948153019
12,0.013580425642430782,0.015355152077972889,0.05337259918451309,0.04756633937358856,169,0.015355152077972889
13,0.0105053149163723,0.012279432266950607,0.03849048539996147,0.024683142080903053,169,0.012279432266950607
14,0.01269200723618269,0.01443398930132389,0.043210823088884354,0.03342215344309807,169,0.01443398930132389
15,0.011775338090956211,0.012955335900187492,0.04627624526619911,0.041541747748851776,169,0.012955335900187492
16,0.01204174105077982,0.013836881145834923,0.0331878699362278,0.015999268740415573,169,0.013836881145834923
17,0.0135778384283185,0.014551326632499695,0.05271439254283905,0.0488915741443634,169,0.014551326632499695
18,0.01009734719991684,0.013269489631056786,0.04005815088748932,0.028368905186653137,169,0.013269489631056786
19,0.011944156140089035,0.013226459734141827,0.043656084686517715,0.034411072731018066,169,0.013226459734141827
20,0.008670798502862453,0.01183275319635868,0.04752139747142792,0.03644845634698868,169,0.01183275319635868
21,0.011288318783044815,0.012375659309327602,0.04465587064623833,0.03644150495529175,169,0.012375659309327602
