run,image_wake_score,image_wake_observed,uxmean_images,uxmean_slices
1,0.3461875865856806,true,4,Y-4;X-14;X-15;X-16
2,0.351776992281278,true,4,Y-4;X-14;X-15;X-16
3,0.3631688902775446,true,4,Y-4;X-14;X-15;X-16
4,0.357019712527593,true,4,Y-4;X-14;X-15;X-16
5,0.351190984249115,true,4,Y-4;X-14;X-15;X-16
6,0.38376043240229285,true,4,Y-4;X-14;X-15;X-16
7,0.3426342258850733,true,4,Y-4;X-14;X-15;X-16
8,0.3663400808970133,true,4,Y-4;X-14;X-15;X-16
9,0.3424033423264822,true,4,Y-4;X-14;X-15;X-16
10,0.3609602749347687,true,4,Y-4;X-14;X-15;X-16
11,0.33907972276210785,true,4,Y-4;X-14;X-15;X-16
12,0.381332149108251,true,4,Y-4;X-14;X-15;X-16
13,0.3817415783802668,true,4,Y-4;X-14;X-15;X-16
14,0.38172480960687005,true,4,Y-4;X-14;X-15;X-16
15,0.3451130837202072,true,4,Y-4;X-14;X-15;X-16
16,0.3515610297520956,true,4,Y-4;X-14;X-15;X-16
17,0.3418483932813009,true,4,Y-4;X-14;X-15;X-16
18,0.3787537068128586,true,4,Y-4;X-14;X-15;X-16
19,0.34178511798381805,true,4,Y-4;X-14;X-15;X-16
20,0.3646722733974457,true,4,Y-4;X-14;X-15;X-16
21,0.37189146379629767,true,4,Y-4;X-14;X-15;X-16
22,0.35373611748218536,true,4,Y-4;X-14;X-15;X-16
23,0.37545597056547797,true,4,Y-4;X-14;X-15;X-16
24,0.3514778365691503,true,4,Y-4;X-14;X-15;X-16
25,0.3433034668366114,true,4,Y-4;X-14;X-15;X-16
26,0.3771053453286489,true,4,Y-4;X-14;X-15;X-16
27,0.35247685511906945,true,4,Y-4;X-14;X-15;X-16
28,0.34733870128790534,true,4,Y-4;X-14;X-15;X-16
29,0.3406224399805069,true,4,Y-4;X-14;X-15;X-16
30,0.34595009684562683,true,4,Y-4;X-14;X-15;X-16
31,0.3439881602923075,true,4,Y-4;X-14;X-15;X-16
32,0.3570915758609772,true,4,Y-4;X-14;X-15;X-16
33,0.3531102190415064,true,4,Y-4;X-14;X-15;X-16
34,0.3848358591397604,true,4,Y-4;X-14;X-15;X-16
35,0.34848642349243164,true,4,Y-4;X-14;X-15;X-16
36,0.36217309534549713,true,4,Y-4;X-14;X-15;X-16
37,0.3483212242523829,true,4,Y-4;X-14;X-15;X-16
38,0.33929045498371124,true,4,Y-4;X-14;X-15;X-16
39,0.3441611478726069,true,4,Y-4;X-14;X-15;X-16
40,0.3530972748994827,true,4,Y-4;X-14;X-15;X-16
41,0.3833983143170675,true,4,Y-4;X-14;X-15;X-16
42,0.3438113828500112,true,4,Y-4;X-14;X-15;X-16
43,0.34940263628959656,true,4,Y-4;X-14;X-15;X-16
44,0.3445309648911158,true,4,Y-4;X-14;X-15;X-16
45,0.3501907934745153,true,4,Y-4;X-14;X-15;X-16
46,0.35458605984846747,true,4,Y-4;X-14;X-15;X-16
47,0.35241089264551795,true,4,Y-4;X-14;X-15;X-16
48,0.3517579436302185,true,4,Y-4;X-14;X-15;X-16
49,0.3495356192191442,true,4,Y-4;X-14;X-15;X-16
50,0.34348961214224494,true,4,Y-4;X-14;X-15;X-16
51,0.34816386799017585,true,4,Y-4;X-14;X-15;X-16
52,0.35219246645768487,true,4,Y-4;X-14;X-15;X-16
53,0.3491321156422297,true,4,Y-4;X-14;X-15;X-16
54,0.33699025213718414,true,4,Y-4;X-14;X-15;X-16
55,0.3794567584991455,true,4,Y-4;X-14;X-15;X-16
56,0.34859101474285126,true,4,Y-4;X-14;X-15;X-16
57,0.36692495147387183,true,4,Y-4;X-14;X-15;X-16
58,0.3380003720521927,true,4,Y-4;X-14;X-15;X-16
59,0.3460168093442917,true,4,Y-4;X-14;X-15;X-16
60,0.3728251407543818,true,4,Y-4;X-14;X-15;X-16
61,0.35211281975110376,true,4,Y-4;X-14;X-15;X-16
62,0.35988104840119683,true,4,Y-4;X-14;X-15;X-16
63,0.3542174200216929,true,4,Y-4;X-14;X-15;X-16
64,0.34016656378904975,true,4,Y-4;X-14;X-15;X-16
65,0.35790068904558814,true,4,Y-4;X-14;X-15;X-16
66,0.3379997809727987,true,4,Y-4;X-14;X-15;X-16
67,0.35174825290838874,true,4,Y-4;X-14;X-15;X-16
68,0.347043921550115,true,4,Y-4;X-14;X-15;X-16
69,0.3739911367495855,true,4,Y-4;X-14;X-15;X-16
70,0.3401368806759516,true,4,Y-4;X-14;X-15;X-16
71,0.37611752251784003,true,4,Y-4;X-14;X-15;X-16
72,0.34206880132357276,true,4,Y-4;X-14;X-15;X-16
73,0.3790056655804316,true,4,Y-4;X-14;X-15;X-16
74,0.3843736698230108,true,4,Y-4;X-14;X-15;X-16
75,0.3820884426434835,true,4,Y-4;X-14;X-15;X-16
76,0.37921497225761414,true,4,Y-4;X-14;X-15;X-16
77,0.35149887204170227,true,4,Y-4;X-14;X-15;X-16
78,0.3554788132508596,true,4,Y-4;X-14;X-15;X-16
79,0.3666918079058329,true,4,Y-4;X-14;X-15;X-16
80,0.3449161251386007,true,4,Y-4;X-14;X-15;X-16
81,0.38276966412862146,true,4,Y-4;X-14;X-15;X-16
82,0.3812187761068344,true,4,Y-4;X-14;X-15;X-16
83,0.3520535876353582,true,4,Y-4;X-14;X-15;X-16
84,0.3463789075613022,true,4,Y-4;X-14;X-15;X-16
85,0.34566865861415863,true,4,Y-4;X-14;X-15;X-16
86,0.3460667977730433,true,4,Y-4;X-14;X-15;X-16
87,0.3419599632422129,true,4,Y-4;X-14;X-15;X-16
88,0.3476617236932119,true,4,Y-4;X-14;X-15;X-16
89,0.3706303735574087,true,4,Y-4;X-14;X-15;X-16
90,0.34644113977750146,true,4,Y-4;X-14;X-15;X-16
91,0.3523273169994354,true,4,Y-4;X-14;X-15;X-16
92,0.3582994739214579,true,4,Y-4;X-14;X-15;X-16
93,0.3538975119590759,true,4,Y-4;X-14;X-15;X-16
94,0.3790803998708725,true,4,Y-4;X-14;X-15;X-16
95,0.3475813915332159,true,4,Y-4;X-14;X-15;X-16
96,0.3395392199357351,true,4,Y-4;X-14;X-15;X-16
97,0.3470164636770884,true,4,Y-4;X-14;X-15;X-16
98,0.3476693630218506,true,4,Y-4;X-14;X-15;X-16
99,0.3503692001104355,true,4,Y-4;X-14;X-15;X-16
100,0.3483559240897497,true,4,Y-4;X-14;X-15;X-16
101,0.3559330254793167,true,4,Y-4;X-14;X-15;X-16
102,0.3472145597139994,true,4,Y-4;X-14;X-15;X-16
103,0.3489331056674322,true,4,Y-4;X-14;X-15;X-16
104,0.3521694938341776,true,4,Y-4;X-14;X-15;X-16
105,0.3445242245992025,true,4,Y-4;X-14;X-15;X-16
106,0.34721974531809485,true,4,Y-4;X-14;X-15;X-16
107,0.37994764248530066,true,4,Y-4;X-14;X-15;X-16
108,0.3588190277417501,true,4,Y-4;X-14;X-15;X-16
109,0.34389907121658325,true,4,Y-4;X-14;X-15;X-16
110,0.36150750021139777,true,4,Y-4;X-14;X-15;X-16
111,0.3548774917920431,true,4,Y-4;X-14;X-15;X-16
112,0.3599904775619507,true,4,Y-4;X-14;X-15;X-16
113,0.3504287203152975,true,4,Y-4;X-14;X-15;X-16
114,0.35895157853762305,true,4,Y-4;X-14;X-15;X-16
115,0.3705332577228546,true,4,Y-4;X-14;X-15;X-16
