run,geometry_observed,ood_score,mean_10_nn_parameter_distance,mean_all_parameter_distance
1,true,1.5371733399829923,1.5371733399829923,4.199731382417224
2,true,1.4457567606929893,1.4457567606929893,3.643387473648818
3,true,1.3189681131530917,1.3189681131530917,3.35612935034657
4,true,1.4637477105727439,1.4637477105727439,3.605043103191509
5,true,1.4537520206700978,1.4537520206700978,3.974757639523387
6,true,1.365176865740792,1.365176865740792,3.8453861852612605
7,true,1.2694473876511527,1.2694473876511527,3.2423345370647625
8,true,1.5092872398730628,1.5092872398730628,4.034250219149982
9,true,1.4984929417418336,1.4984929417418336,3.7149773093263545
10,true,1.4112894153192828,1.4112894153192828,4.013813504220453
11,true,1.8251202002021731,1.8251202002021731,4.532237727003187
12,true,1.7712793033405727,1.7712793033405727,3.930804887593982
13,true,1.3728479009245877,1.3728479009245877,3.3227738862855456
14,true,1.968277047586993,1.968277047586993,4.277672628834627
15,true,1.51700391755795,1.51700391755795,3.860611458610603
16,true,1.491179657734723,1.491179657734723,3.5705746292863356
17,true,1.8151770518836585,1.8151770518836585,4.454243690420919
18,true,1.2425136674783155,1.2425136674783155,3.7099203668773617
19,true,1.9366994787623184,1.9366994787623184,4.300523616915295
20,true,1.6541944498218613,1.6541944498218613,3.808239982221566
21,true,1.4989923349794088,1.4989923349794088,3.617694239894782
22,true,1.5885224877940947,1.5885224877940947,4.683458684595786
23,true,1.4953705034562617,1.4953705034562617,3.518936957690446
24,true,1.487681441561694,1.487681441561694,3.4777791385117873
25,true,1.8454082571389812,1.8454082571389812,4.254133885400819
26,true,1.5365936800782911,1.5365936800782911,3.3199332227966383
27,true,1.3970045311559727,1.3970045311559727,3.7933758739257315
28,true,1.4745004264323,1.4745004264323,3.5335530641974446
29,true,1.3761190025066437,1.3761190025066437,3.3004267985172113
30,true,1.6893560216752586,1.6893560216752586,3.9962169886671584
31,true,1.545621702962044,1.545621702962044,3.5267752580256215
32,true,1.6889309056680966,1.6889309056680966,3.760402654267447
33,true,1.4310336992451789,1.4310336992451789,3.587550074637966
34,true,1.7397834960200353,1.7397834960200353,3.8012203702726968
35,true,1.33856233573376,1.33856233573376,3.2424276247642267
36,true,1.6189911615062065,1.6189911615062065,3.978705649462621
37,true,1.4139180883261935,1.4139180883261935,3.2499973775608963
38,true,1.6770964866407307,1.6770964866407307,3.821484950355596
39,true,1.3548187132170022,1.3548187132170022,3.406777441274412
40,true,1.6557060501522805,1.6557060501522805,3.407621123089733
41,true,1.4376302338623428,1.4376302338623428,3.412314420814256
42,true,1.6989847984410862,1.6989847984410862,4.193548468789302
43,true,1.4477911205941505,1.4477911205941505,3.9458349095031995
44,true,1.4744137561868589,1.4744137561868589,4.009791043161175
45,true,1.754005359467222,1.754005359467222,3.706431531481122
46,true,1.823165410165522,1.823165410165522,4.310895435146352
47,true,1.6916700526409845,1.6916700526409845,3.704412318413234
48,true,1.4391015095848254,1.4391015095848254,3.6568167122340443
49,true,1.3956524392748952,1.3956524392748952,3.4060303385280606
50,true,1.8907191285272638,1.8907191285272638,4.720967852857075
