run,body-length,body-height,body-width,front-arc-diameter,slant-angle-length,slant-angle-height,slant-surface-length,slant-angle-degrees
1,1187.9759519038075,253.38677354709418,369.3386773547094,194.30861723446895,95.92849345377991,174.52137364637474,199.14815016898712,61.203893601097136
2,1070.941883767535,304.3186372745491,431.4629258517034,183.8877755511022,184.78881811818968,52.76493947714357,192.17452000601955,15.936260862243962
3,907.4148296593187,292.3346693386774,350.90180360721445,182.60521042084167,186.50426840128637,77.19256263335296,201.84779874401204,22.48425593471385
4,1023.6472945891784,313.82765531062125,425.8517034068136,174.2685370741483,141.90256104077184,83.2994684224053,164.54524687570066,30.41373433975155
5,871.3426853707415,267.4549098196393,363.72745490981964,235.8316633266533,141.55947098415248,200.85740486166299,245.7290803162603,54.82473886379122
6,913.0260521042084,288.8176352705411,345.69138276553105,202.16432865731463,243.11412774347792,167.2694230218751,295.09920194155575,34.52907585893963
7,911.4228456913828,307.7054108216433,435.87174348697397,194.9498997995992,152.8814428525908,135.589849241166,204.34613474673827,41.56967149887105
8,1149.4989979959919,310.8316633266533,472.3446893787575,171.5430861723447,205.3742215153502,85.58955809329994,222.49526583197786,22.623897815721463
9,979.559118236473,277.74549098196394,492.78557114228454,215.6312625250501,142.24565109739117,194.36881746079487,240.85900949980788,53.802076746302674
10,883.3667334669339,288.0360721442886,302.8056112224449,207.45490981963928,236.25232661109106,76.42919940972142,248.30743917886272,17.926739321693166
11,807.2144288577155,302.23446893787576,428.25651302605206,238.39679358717433,92.15450283096715,189.7886381190056,210.97909742694796,64.10046619348715
12,1200,299.3687374749499,344.8897795591182,165.45090180360722,201.9433209491568,138.6433021356922,244.95524101978913,34.47137486703709
13,902.6052104208417,304.188376753507,346.4929859719439,183.72745490981964,181.70100760861558,121.84931121579824,218.77502327676856,33.845939115048154
14,1136.6733466933867,272.6653306613226,337.6753507014028,225.41082164328657,240.71249734714252,183.68173232995326,302.78950637502396,37.34635400960601
15,1162.3246492985973,264.9799599198397,437.875751503006,175.71142284569137,103.13338464278611,96.65832483595732,141.34824649768498,43.143747850368484
16,1034.068136272545,278.13627254509015,377.3547094188377,193.98797595190382,173.123756193132,213.07121643976768,274.53811799737633,50.905591562340234
17,1195.190380761523,267.71543086172346,439.47895791583164,165.6112224448898,89.75287243463174,185.9718220008479,206.49720745952555,64.23732591969849
18,890.5811623246493,255.34068136272546,417.4348697394789,175.07014028056113,212.92220276097578,148.94870565471805,259.8491511335027,34.97452792377833
19,862.5250501002004,265.1102204408818,459.5190380761523,188.37675350701403,77.05854033971607,70.70397523248484,104.58045110327015,42.537497564378995
20,859.3186372745491,269.7995991983968,318.436873747495,204.88977955911824,135.04075990838498,61.92529816072209,148.56227444721088,24.634649468057507
21,1151.1022044088177,297.28456913827654,326.85370741482967,206.17234468937875,211.20675247787904,107.72709157861469,237.09369150662633,27.024089112232875
22,830.4609218436874,258.2064128256513,481.9639278557114,168.6573146292585,241.05558740376188,185.20845877721635,303.9900811230599,37.53588747306632
23,981.1623246492986,286.8637274549098,454.3086172344689,161.92384769539078,199.19860049620206,95.13159838869423,220.74896025040147,25.52781688916654
24,934.6693386773547,301.4529058116232,365.7314629258517,218.3567134268537,166.26195506074515,185.59014038903214,249.1721050002225,48.14425166394405
25,1069.3386773547095,310.0501002004008,419.0380761523046,231.02204408817636,156.99852353202292,28.718997932749954,159.60362537704603,10.3662363777135
26,1110.2204408817634,284.7795591182365,390.5811623246493,236.63326653306615,166.6050451173645,113.83399736766704,201.78062348813648,34.3431004131763
27,1025.250501002004,299.2384769539078,332.064128256513,209.6993987975952,185.8180882880477,41.31449112267042,190.35558597464353,12.535149239892588
28,1115.0300601202405,252.99599198396794,388.5771543086172,176.35270541082164,137.09930024810103,116.12408703856167,179.66920080820307,40.26483767649711
29,997.1943887775551,270.7114228456914,425.0501002004008,198.47695390781564,106.2211951523602,99.71177773048348,145.68933014386857,43.18951769108806
30,836.0721442885772,306.79358717434866,341.6833667334669,193.02605210420842,97.98703379349597,150.47543210198114,179.5670194048051,56.92851159725744
31,997.9959919839679,263.2865731462926,432.6653306613226,175.2304609218437,109.99518577517296,145.13188953656032,182.1049319874867,52.8415802098079
32,901.002004008016,269.2785571142285,330.06012024048096,177.15430861723448,197.140060156486,183.3000507181375,269.18973218117867,42.916558823616725
33,1132.6653306613225,281.65330661322645,309.6192384769539,195.4308617234469,156.65543347540358,175.28473687000627,235.0865028387507,48.212211157311415
34,1168.7374749498997,309.65931863727457,356.1122244488978,222.84569138276552,194.7384297601506,151.62047693742844,246.80321118693408,37.903800321619
35,917.8356713426854,280.3507014028056,353.3066132264529,205.69138276553105,116.51389685094048,110.01718124950932,160.24752206969998,43.35725682877512
36,845.6913827655311,268.1062124248497,321.64328657314627,165.77154308617236,162.83105449455172,67.2688407261429,176.179026108237,22.44652134615155
37,1007.6152304609218,312.00400801603206,410.6212424849699,212.74549098196394,174.15302636299003,139.02498374750797,222.83900622957185,38.60009027990241
38,1090.1803607214429,309.78957915831666,483.96793587174346,182.28456913827654,170.03594568355794,176.81146331726939,245.30494570003265,46.11910651648159
39,1042.0841683366734,286.4729458917836,418.63727454909815,189.17835671342687,108.96591560531493,75.66583618608988,132.66080630481937,34.77607943382707
40,857.7154308617235,261.7234468937876,409.4188376753507,196.2324649298597,140.8732908709138,85.20787648148416,164.63798557831345,31.167844734570433
41,973.9478957915832,277.3547094188377,442.28456913827654,182.124248496994,227.33198513898816,133.68144118208716,263.7244000538308,30.45744478214098
42,1019.6392785571143,253.51703406813627,431.86372745490985,168.81763527054107,93.52686305744452,67.65052233795866,115.42905737276305,35.87923822929717
43,828.8577154308617,289.07815631262525,318.8376753507014,215.95190380761522,97.30085368025729,130.24630667574525,162.57784759794035,53.23833115295594
44,1054.9098196392786,283.60721442885773,380.16032064128257,202.00400801603206,228.36125530884618,26.428908261855323,229.88551524214307,6.601636415662965
45,1159.118236472946,288.2965931863727,317.23446893787576,218.99799599198397,125.43423832304339,94.36823516506269,156.96850624201855,36.9553275446535
46,1107.0140280561122,279.95991983967934,339.67935871743487,166.4128256513026,114.11226645460508,37.11599339269693,119.99669295832076,18.017560577698887
47,896.1923847695391,310.31062124248496,338.0761523046092,210.9819639278557,123.37569798332731,89.78805582327342,152.58917989620517,36.04567739913648
48,844.8897795591182,281.002004008016,319.2384769539078,226.6933867735471,148.42127211653934,160.01747239737543,218.2532141553398,47.15310353749541
49,958.7174348697395,258.85771543086173,407.01402805611224,216.43286573146293,143.9611013804879,177.57482654090092,228.59925138047623,50.96808637889204
50,1163.9278557114228,276.05210420841684,484.36873747494985,166.8937875751503,246.201938253052,39.40608306359156,249.3355846684831,9.093402108587219
51,867.3346693386774,255.21042084168337,493.186372745491,185.17034068136272,162.14487438131306,106.2003651313516,193.82847531300501,33.22367922908163
52,832.0641282565131,302.88577154308615,499.59919839679355,237.2745490981964,211.8929325911177,209.25440032160998,297.8019794024555,44.641040620679554
53,1036.4729458917836,311.2224448897796,328.85771543086173,190.7815631262525,121.66024770023061,215.7429877224781,247.68175674018224,60.58078921550912
54,1188.7775551102204,295.59118236472943,493.98797595190376,165.9318637274549,96.6146735670186,148.56702404290226,177.21894870872546,56.96363382451088
55,884.9699398797595,264.45891783567134,319.6392785571142,229.4188376753507,240.02631723390385,169.9411943045855,294.0963149829313,35.29890108177558
56,921.0420841683367,314.60921843687373,389.7795591182365,162.56513026052104,163.17414455117108,36.352630169065385,167.17450514422143,12.559490747164295
57,952.3046092184369,274.22845691382764,436.2725450901803,230.3807615230461,236.59541666771042,84.06283164603684,251.0855448896201,19.560229082708393
58,971.5430861723447,273.0561122244489,487.5751503006012,175.39078156312624,100.38866418983136,64.21538783161672,119.17004628757881,32.60573486064921
59,1124.6492985971943,302.75551102204406,465.13026052104203,197.51503006012024,103.81956475602479,29.86404276819727,108.02945467135868,16.04805704351755
