run,nearest_neighbor_chamfer,mean_10_nn_chamfer,mean_all_chamfer,medoid_chamfer,medoid_run,ood_score
1,0.007728395517915487,0.008212374523282051,0.014261526055634022,0.012437675148248672,294,0.008212374523282051
2,0.007664899807423353,0.008202708326280117,0.012909170240163803,0.0117068812251091,294,0.008202708326280117
3,0.007015416398644447,0.007785084191709757,0.014882386662065983,0.0125005804002285,294,0.007785084191709757
4,0.006997725926339626,0.007555538322776556,0.012383533641695976,0.007999238558113575,294,0.007555538322776556
5,0.007902598939836025,0.008317304775118828,0.01508842408657074,0.013258375227451324,294,0.008317304775118828
6,0.0070487139746546745,0.008031521923840046,0.011926145292818546,0.008692706935107708,294,0.008031521923840046
7,0.00693513685837388,0.0073768338188529015,0.014092350378632545,0.011230621486902237,294,0.0073768338188529015
8,0.007733411155641079,0.00816173292696476,0.014925297349691391,0.013717438094317913,294,0.00816173292696476
9,0.007255421951413155,0.007551925722509623,0.012757613323628902,0.011809422634541988,294,0.007551925722509623
10,0.00789411086589098,0.008082995191216469,0.013038849458098412,0.00977280829101801,294,0.008082995191216469
11,0.008024632930755615,0.008651791140437126,0.013939721509814262,0.012808147817850113,294,0.008651791140437126
12,0.00727294385433197,0.00773902703076601,0.012483862228691578,0.009697002358734608,294,0.00773902703076601
13,0.007272020913660526,0.007541449274867773,0.012996809557080269,0.008965196087956429,294,0.007541449274867773
14,0.007471530232578516,0.008153184317052364,0.013021936640143394,0.011648672632873058,294,0.008153184317052364
15,0.007168072275817394,0.007896794937551022,0.012682412751019001,0.010203680023550987,294,0.007896794937551022
16,0.007748429197818041,0.008129313588142395,0.013905240222811699,0.010548735968768597,294,0.008129313588142395
17,0.007289710454642773,0.00791021715849638,0.014032517559826374,0.013342821970582008,294,0.00791021715849638
18,0.006974077317863703,0.00795731134712696,0.014629524201154709,0.010785248130559921,294,0.00795731134712696
19,0.00737164169549942,0.007990507408976555,0.014471451751887798,0.012441612780094147,294,0.007990507408976555
20,0.007422759663313627,0.007922740653157234,0.012491573579609394,0.008519532158970833,294,0.007922740653157234
21,0.00709755951538682,0.007848331704735756,0.01289029885083437,0.010429523885250092,294,0.007848331704735756
22,0.007199769373983145,0.007722700946033001,0.011888345703482628,0.008776996284723282,294,0.007722700946033001
23,0.007532700430601835,0.007921579293906689,0.013541990891098976,0.010390311479568481,294,0.007921579293906689
24,0.0075135985389351845,0.00828961469233036,0.014589294791221619,0.014523287303745747,294,0.00828961469233036
25,0.007920104078948498,0.008761165663599968,0.016238275915384293,0.015917280688881874,294,0.008761165663599968
26,0.007575778756290674,0.007794989738613367,0.011827322654426098,0.007973658852279186,294,0.007794989738613367
27,0.007076209876686335,0.00784569513052702,0.01639395020902157,0.013411223888397217,294,0.00784569513052702
28,0.007739785593003035,0.008414610289037228,0.014245412312448025,0.013596558012068272,294,0.008414610289037228
29,0.0076815346255898476,0.008371112868189812,0.015210100449621677,0.011812552809715271,294,0.008371112868189812
30,0.007743602618575096,0.007991025224328041,0.013702129945158958,0.012982137501239777,294,0.007991025224328041
31,0.007485717069357634,0.00799345038831234,0.012806684710085392,0.010439479723572731,294,0.00799345038831234
32,0.007131264545023441,0.007737527601420879,0.013650596141815186,0.011077373288571835,294,0.007737527601420879
33,0.007574280723929405,0.007976179011166096,0.013188943266868591,0.011190058663487434,294,0.007976179011166096
34,0.007321704179048538,0.008255972526967525,0.01416583452373743,0.013094612397253513,294,0.008255972526967525
35,0.00746291084215045,0.008180354721844196,0.01318647712469101,0.010989734902977943,294,0.008180354721844196
36,0.007331960368901491,0.0077897049486637115,0.012653619982302189,0.009535702876746655,294,0.0077897049486637115
37,0.006878306623548269,0.007992558181285858,0.01483813114464283,0.012622697278857231,294,0.007992558181285858
38,0.007216934580355883,0.007996181026101112,0.012061328627169132,0.009241960011422634,294,0.007996181026101112
39,0.0077361236326396465,0.00840417854487896,0.014964241534471512,0.011535460129380226,294,0.00840417854487896
40,0.007408876903355122,0.007991618476808071,0.013754652813076973,0.012711020186543465,294,0.007991618476808071
41,0.007660582661628723,0.008226067759096622,0.014506381936371326,0.014615525491535664,294,0.008226067759096622
42,0.006929978262633085,0.00739819323644042,0.01229726243764162,0.007422067224979401,294,0.00739819323644042
43,0.00794073473662138,0.00832408107817173,0.013721857219934464,0.010084155946969986,294,0.00832408107817173
44,0.00732328649610281,0.00776233384385705,0.01232525147497654,0.00972388219088316,294,0.00776233384385705
45,0.007921513170003891,0.008382773026823997,0.012798807583749294,0.009689154103398323,294,0.008382773026823997
46,0.007792997639626265,0.008158780634403229,0.013262392953038216,0.011538083665072918,294,0.008158780634403229
47,0.007184433285146952,0.007991562597453594,0.013408348895609379,0.01073254644870758,294,0.007991562597453594
