run,rear_separation_score,rear_separation_observed
1,0.25272547842260684,true
2,0.3164777364020835,true
3,0.2929632797629087,true
4,0.2068489048234909,true
5,0.30840304831174864,true
6,0.2910688710488444,true
7,0.27885181609090004,true
8,0.2719102569257368,true
9,0.24240163153123787,true
10,0.32959813206826877,true
11,0.2360446719449199,true
12,0.27281712326872964,true
13,0.25442794730381324,true
14,0.26748255411520716,true
15,0.2891937554950017,true
16,0.2833009745356684,true
17,0.3083976791831533,true
18,0.25741765330965494,true
19,0.22635623368706076,true
20,0.2658125648925125,true
21,0.23843755040441056,true
22,0.2753801481753036,true
23,0.27976019833866417,true
24,0.2728312376399111,true
25,0.31244927130371875,true
26,0.2512199320801266,true
27,0.20987453422927613,true
28,0.3015376344673631,true
29,0.20158218507110626,true
30,0.3063167949448006,true
31,0.27296056829175497,true
32,0.2824560274723106,true
33,0.2785487790081147,true
34,0.27790004950767366,true
35,0.2967770190159291,true
36,0.21882717372663352,true
37,0.27637170573085124,true
38,0.3325832368882041,true
39,0.18598323613546475,true
40,0.2529709113082462,true
41,0.32255810490371495,true
42,0.2382424914750675,true
43,0.3146383119208039,true
44,0.2711310431334678,true
45,0.2954208776723287,true
46,0.27728776653041776,true
47,0.18216380708127405,true
48,0.32583096635398084,true
49,0.22369883178046443,true
50,0.3250633288130904,true
51,0.25490582318022204,true
52,0.3302656622714021,true
53,0.1876576097555991,true
54,0.3162129787456505,true
55,0.2621241826017942,true
56,0.19197713644369066,true
57,0.29827443666612363,true
58,0.2331692344066614,true
59,0.2839324497820098,true
60,0.3277052973079895,true
61,0.26567501253065257,true
62,0.2758180934711547,true
63,0.2872665435556304,true
64,0.24561452613390372,true
65,0.31811956742041825,true
66,0.2989784147674965,true
67,0.26721485329444405,true
68,0.2851482876993081,true
69,0.18776349500839296,true
70,0.29114459668299447,true
71,0.2736691819584977,true
72,0.3168150541865845,true
73,0.2819313221586729,true
74,0.25252106312055295,true
75,0.2738008547574874,true
76,0.30070647672645173,true
77,0.20895623819697637,true
78,0.26534135791047614,true
79,0.2783892683677861,true
80,0.32904718053878995,true
81,0.29640875109724574,true
82,0.2008195567610277,true
83,0.26786577526993316,true
84,0.28101399442641767,true
85,0.2919381937363184,true
86,0.27144457945615164,true
87,0.305206712365945,true
88,0.24430161675059636,true
89,0.3147487719912554,true
90,0.20736603953513477,true
91,0.2589118034015993,true
92,0.2327747393158112,true
93,0.2764297374457098,true
94,0.28883183143387225,true
95,0.2868886542525653,true
96,0.25680151481171887,true
97,0.22601744103669402,true
98,0.29055438617257523,true
99,0.2801335592151919,true
100,0.15938819683717642,true
101,0.2504536067407203,true
102,0.34139525425239714,true
103,0.30854924751408286,true
104,0.23631797368472623,true
105,0.32438814486833695,true
106,0.2812988116609541,true
107,0.2345332375803178,true
108,0.2333461436522661,true
109,0.21706224048060785,true
110,0.31006896232067394,true
111,0.25582745257097694,true
112,0.24922607597042,true
113,0.25361083790568184,true
114,0.29245351941804354,true
115,0.20012389710260164,true
116,0.3229414921812881,true
117,0.25858031050368363,true
118,0.28608328240981307,true
119,0.2477996900330362,true
120,0.3159775686127464,true
121,0.3363049305906449,true
122,0.19120487675589717,true
123,0.24672419654715788,true
124,0.3113959509877877,true
125,0.3463684175101195,true
126,0.21954243224753262,true
127,0.22328047267995724,true
128,0.2872562977824299,true
129,0.27967028282976536,true
130,0.2667865297967339,true
131,0.31803771251210605,true
132,0.2348347257470907,true
133,0.27521702787008906,true
134,0.2581397625806312,true
135,0.2342952135457102,true
136,0.29314520841373687,true
137,0.2448915389090615,true
138,0.28847272530946,true
139,0.31232960279516403,true
140,0.2944654900921408,true
141,0.29493870615365947,true
142,0.21147906515253456,true
143,0.22252903670196905,true
144,0.3222474068532169,true
145,0.21311602854517214,true
146,0.2719803507370379,true
147,0.28201232441028357,true
148,0.3127756904797721,true
149,0.24755655734799203,true
150,0.28305459020603024,true
151,0.28375907150127566,true
152,0.20613566170717623,true
153,0.2849727156307359,true
154,0.29302556130917345,true
155,0.20721408997293664,true
156,0.2194870060122477,true
157,0.24730543631459134,true
158,0.3208941196696299,true
159,0.2978190119468518,true
160,0.26780646611420506,true
161,0.3012387676591294,true
162,0.2835473423614305,true
163,0.21591937260898325,true
164,0.2522821598795625,true
165,0.24053263762113658,true
166,0.3302768820403058,true
168,0.258826060841288,true
169,0.28262328713680207,true
170,0.2643590256489756,true
171,0.23039841447701623,true
172,0.2772188103547245,true
173,0.19362303747947662,true
174,0.2842727019530414,true
175,0.2204105134117139,true
176,0.2971872704832712,true
177,0.23135830368610982,true
178,0.330385991464191,true
179,0.26995178138287385,true
180,0.3089506029684601,true
181,0.22593668657944838,true
182,0.25524333114211795,true
183,0.29835961036608605,true
184,0.2973428934116367,true
185,0.3192274078073603,true
186,0.16530684330311868,true
187,0.3194990723562152,true
188,0.25372726613122776,true
