run, cd, cs, cl, cmy
0,0.2818169578178322,0.0008234405065462456,0.48822197919945154,-0.07294317299334006
1,0.32251110051821463,-0.059431832381329826,-0.061135997912917385,-0.04094381732630274
2,0.33010659710393736,-0.058600969321564035,-0.06421676368290545,-0.02905042393110377
3,0.30081598817478755,-0.08508728478852118,0.09850493043033436,-0.04880664592823982
4,0.31424155982132473,-0.1175629272007612,-0.3420653242009144,-0.04557496653250944
5,0.2450244117448047,0.05651330318024736,0.15087557493262413,-0.08619978141460595
6,0.31317566930409746,0.005499777016970751,0.046782322314824834,-0.0589582864039574
7,0.32239557512463696,-0.08479985144396236,0.471526989562819,-0.05563912367010274
8,0.3059067565057045,-0.05801844340514662,-0.2052236398374931,-0.101078007749432
9,0.31636473290352285,-0.0515281842245974,0.22952356250918485,-0.040446712272531195
10,0.4603292850836657,-0.024055769202871682,0.7002446110511414,-0.03911657890985697
11,0.34706984936580376,-0.034599667589926275,0.596903704726063,-0.05203020738004671
12,0.3122229208561557,0.08806447996315543,0.4798565868693217,-0.07082148196226257
13,0.31203077595680556,-0.06275541904048933,-0.17145260072616803,-0.03228709838222932
14,0.35016442932342345,-0.0698885872970877,-0.2577483724833305,-0.019349739651412574
15,0.2786826580992364,-0.11971056151745622,-0.32351731430233444,-0.06534122361692113
16,0.3018925086604092,-0.038010205495183164,0.33136511887102843,-0.05100085824153773
17,0.33209395375694245,-0.10157588122273507,-0.37212372817994804,-0.025316818536198542
18,0.3136440656262618,0.044797316075893254,-0.06490823107206029,-0.09382773786787603
19,0.2705974574479903,-0.09107255264135473,-0.06009549527326935,-0.07286300043474404
20,0.3898259020684737,-0.02171868424467049,0.749822266085117,-0.05275751916316346
21,0.31455513345047653,-0.014137031851520328,0.5040193250297967,-0.03883355232767017
22,0.31595095181754274,0.06515354375182046,-0.057091344004713086,-0.07734564852354885
23,0.33648183010392313,-0.03989969123278047,-0.23490933113348708,-0.03249205586844409
24,0.2918598955423055,0.03797828794729686,-0.2104724347551785,-0.0914835743680619
25,0.3344693352155783,0.006068633936297586,-0.4138541184427161,-0.08009255002878192
26,0.27928092928152076,0.061052630265235254,0.2489394851547623,-0.07888374736696724
27,0.30761802854537734,-0.009587626081224326,0.3409688921028396,-0.09201778421726421
28,0.32146970444565415,-0.08558246279357136,-0.15431118260062124,-0.031288609410517365
29,0.28376427720758296,-0.09917746651908932,0.3907249107566069,-0.05794586320836522
30,0.2552090738859171,0.02893191093131876,0.08963174187976404,-0.0915573365528702
31,0.2552090738859171,0.02893191093131876,0.08963174187976404,-0.0915573365528702
32,0.30652436168357433,0.07011995591055332,0.628683409323993,-0.0748407669655181
33,0.31459297846975687,0.055552595859381874,-0.22058158275507317,-0.07756698593594158
34,0.28862288267629244,-0.1331933121462525,-0.2949410630437822,-0.058587606978012456
35,0.32250717941769025,-0.07397170046867035,-0.07242119446135081,-0.015250621675291476
36,0.33106535857068453,-0.01925146767332635,0.17128610994732077,-0.06153261547031782
37,0.3065194107222643,-0.08098194758669033,-0.2626398146504892,-0.04681252154451543
38,0.261673710448034,-0.07270708251306222,0.19848301826507125,-0.04666693402602917
39,0.28825809077465386,-0.040282905875235246,0.32116288168206764,-0.06600566450588291
40,0.29846055204634087,0.0654702696268821,-0.13175400967427037,-0.06637052755434768
41,0.31407502971756435,-0.11427341498256788,-0.15023528200201217,-0.05055982179168517
42,0.32808506464292225,-0.11802511165980645,0.1925944135888433,-0.008647402311275972
43,0.3198305273360122,-0.0847345193171675,-0.018793505098900296,-0.037214468195264555
44,0.28912543567948457,0.051167207889730504,0.016741531607999578,-0.08614174691948116
45,0.3158644399004216,0.0485289215833759,-0.0736163096306841,-0.0702166640002092
46,0.27680617233250204,-0.11407860719455575,-0.08322975910084983,-0.05544431459025417
47,0.31415217131359646,0.01442214530676175,-0.27885054072334736,-0.05568009687361177
48,0.24389824124486215,-0.09093749761475008,0.04829143467997585,-0.08311010982981161
49,0.30680541071672723,0.0169651349200773,-0.12208943128690694,-0.07410270255623323
50,0.35633224632278876,-0.10292307633457672,-0.42535546882425235,-0.022439611748490296
51,0.29873366648039246,0.017457530656607878,0.6511574161189386,-0.06453184947274371
52,0.340562291465148,-0.037052100271540926,0.08546580176986172,-0.04960182496960236
53,0.29475469918063746,0.05429606640353633,0.23523871288947415,-0.07877422039653573
54,0.3222114510629513,-0.05789356259636267,-0.11787973419293966,-0.028893581581626207
55,0.27451593189131335,-0.06402521060696989,-0.07366594362559262,-0.03609827771540436
56,0.28356892360283975,-0.010806791284055194,0.22402248852899245,-0.07951496064232189
57,0.30592054062832064,-0.09678189475158955,-0.21504540494358249,-0.05322394021956374
58,0.31969768272754506,-0.09899875843709922,-0.021396597259651772,-0.043683372503538966
59,0.3226802440206719,0.0348272074792075,-0.18641670841687688,-0.04543503072523754
60,0.3038382675309497,0.1861885651259405,0.156104800689761,-0.1419644622723544
61,0.3059780581961592,-0.09456186332746912,0.05574534213823023,-0.029428733008548646
62,0.3323424000533435,-0.05348352693960486,-0.07272297113877373,-0.0340490372245893
63,0.3322765239468199,-0.07213608780555322,-0.23898285527445506,-0.05751584157512831
64,0.28343054325867023,-0.018409900376268964,-0.08631927611235239,-0.08214347999339497
