run,geometry_observed,nearest_neighbor_chamfer,mean_10_nn_chamfer,mean_all_chamfer,medoid_chamfer,medoid_run,ood_score,imputation_neighbors
0,True,0.011387518607079983,0.013262450695037842,0.04128580167889595,0.03824697807431221,115,0.013262450695037842,
1,True,0.011009939946234226,0.013251036405563354,0.05647054687142372,0.052962712943553925,115,0.013251036405563354,
2,True,0.010547779500484467,0.013195875100791454,0.03964688628911972,0.029308414086699486,115,0.013195875100791454,
3,True,0.011509324423968792,0.012370792217552662,0.03359327092766762,0.012307984754443169,115,0.012370792217552662,
4,True,0.010701311752200127,0.013436922803521156,0.05352438986301422,0.05592511221766472,115,0.013436922803521156,
5,True,0.01154999528080225,0.014133569784462452,0.04039603844285011,0.029157301411032677,115,0.014133569784462452,
6,True,0.011555272154510021,0.01279392559081316,0.034877147525548935,0.015376703813672066,115,0.01279392559081316,
7,True,0.011886964552104473,0.012538546696305275,0.043491609394550323,0.04243140295147896,115,0.012538546696305275,
8,True,0.011150975711643696,0.013016683049499989,0.05060537904500961,0.05194465070962906,115,0.013016683049499989,
9,True,0.01245274767279625,0.013386750593781471,0.04151185229420662,0.034206323325634,115,0.013386750593781471,
10,True,0.010149999521672726,0.014017825946211815,0.04578939452767372,0.04009588807821274,115,0.014017825946211815,
11,True,0.011157217435538769,0.013929265551269054,0.03790871426463127,0.02502146176993847,115,0.013929265551269054,
12,True,0.011213844642043114,0.013062526471912861,0.05271097272634506,0.05017121136188507,115,0.013062526471912861,
13,True,0.011921362020075321,0.013676638714969158,0.047521770000457764,0.03983796015381813,115,0.013676638714969158,
14,True,0.012008284218609333,0.014828095212578773,0.03725012391805649,0.020932842046022415,115,0.014828095212578773,
15,True,0.010373864322900772,0.012675918638706207,0.04253527149558067,0.03911801055073738,115,0.012675918638706207,
16,True,0.010241445153951645,0.011512642726302147,0.038406386971473694,0.025528769940137863,115,0.011512642726302147,
17,True,0.011789039708673954,0.01429742295295,0.049125123769044876,0.04818498715758324,115,0.01429742295295,
18,True,0.010927367024123669,0.013093682937324047,0.03432627394795418,0.016404666006565094,115,0.013093682937324047,
19,True,0.009818362072110176,0.011920268647372723,0.04855955392122269,0.04919042810797691,115,0.011920268647372723,
20,True,0.012867278419435024,0.01521618478000164,0.03927508369088173,0.03147498518228531,115,0.01521618478000164,
21,True,0.010895133018493652,0.012846298515796661,0.03587749972939491,0.01692228578031063,115,0.012846298515796661,
22,True,0.011820620857179165,0.013819458894431591,0.05902153626084328,0.05692881718277931,115,0.013819458894431591,
23,True,0.010261948220431805,0.012863698415458202,0.044761836528778076,0.037452731281518936,115,0.012863698415458202,
24,True,0.010513492859899998,0.012658089399337769,0.03572552651166916,0.017877204343676567,115,0.012658089399337769,
25,True,0.011507011950016022,0.013040557503700256,0.04703732579946518,0.046251993626356125,115,0.013040557503700256,
26,True,0.010600236244499683,0.012397149577736855,0.04111762344837189,0.030570050701498985,115,0.012397149577736855,
27,True,0.009490364231169224,0.011511269956827164,0.03818701207637787,0.030990643426775932,115,0.011511269956827164,
28,True,0.010860958136618137,0.012726997956633568,0.03402654081583023,0.01745646819472313,115,0.012726997956633568,
29,True,0.010579857043921947,0.013094527646899223,0.05072718858718872,0.053202178329229355,115,0.013094527646899223,
30,True,0.00891837291419506,0.011897267773747444,0.0365508496761322,0.02734348177909851,115,0.011897267773747444,
31,True,0.00891837291419506,0.011953024193644524,0.03663557767868042,0.02737654559314251,115,0.011953024193644524,
32,True,0.01178054977208376,0.01331239938735962,0.044792160391807556,0.038074690848588943,115,0.01331239938735962,
33,True,0.01087418757379055,0.011944858357310295,0.03442177176475525,0.012708167545497417,115,0.011944858357310295,
34,True,0.01089719869196415,0.012335582636296749,0.04284502938389778,0.039931099861860275,115,0.012335582636296749,
35,True,0.010727709159255028,0.013044538907706738,0.03844863176345825,0.02510569803416729,115,0.013044538907706738,
36,True,0.010102402418851852,0.012338834814727306,0.039571456611156464,0.02707541175186634,115,0.012338834814727306,
37,True,0.010749096982181072,0.013162517920136452,0.04447801038622856,0.042671091854572296,115,0.013162517920136452,
38,True,0.011114558205008507,0.012699991464614868,0.03349260985851288,0.015496421605348587,115,0.012699991464614868,
39,True,0.010612605139613152,0.012481985613703728,0.035326529294252396,0.022583890706300735,115,0.012481985613703728,
40,True,0.013442505151033401,0.015488195233047009,0.0499306283891201,0.04255947098135948,115,0.015488195233047009,
41,True,0.012020748108625412,0.013740424998104572,0.03715561702847481,0.029136115685105324,115,0.013740424998104572,
42,True,0.009787488728761673,0.012273909524083138,0.03556263446807861,0.015094316564500332,115,0.012273909524083138,
43,True,0.010189495049417019,0.012838209979236126,0.0342094711959362,0.013711540028452873,115,0.012838209979236126,
44,True,0.010083073750138283,0.012880918569862843,0.04320306330919266,0.034211959689855576,115,0.012880918569862843,
45,True,0.009806604124605656,0.013147053308784962,0.0362202450633049,0.020818931981921196,115,0.013147053308784962,
46,True,0.011238104663789272,0.012345580384135246,0.04009832814335823,0.03549583628773689,115,0.012345580384135246,
47,True,0.010543610900640488,0.013990441337227821,0.03949408978223801,0.02766445279121399,115,0.013990441337227821,
48,True,0.009635820984840393,0.012854931876063347,0.049627549946308136,0.05091949179768562,115,0.012854931876063347,
49,True,0.010492951609194279,0.012494039721786976,0.035110633820295334,0.023867812007665634,115,0.012494039721786976,
50,True,0.013094361871480942,0.014725496992468834,0.04429764300584793,0.039075013250112534,115,0.014725496992468834,
51,True,0.010708970949053764,0.013613102026283741,0.03766370564699173,0.02459827996790409,115,0.013613102026283741,
52,True,0.010185126215219498,0.012646054849028587,0.044401030987501144,0.03792896866798401,115,0.012646054849028587,
53,True,0.009615394286811352,0.012369819916784763,0.033640820533037186,0.012952952645719051,115,0.012369819916784763,
54,True,0.01212071068584919,0.013602484948933125,0.03866367042064667,0.024225788190960884,115,0.013602484948933125,
55,True,0.010020468384027481,0.012629804201424122,0.036491185426712036,0.018698325380682945,115,0.012629804201424122,
56,True,0.010957827791571617,0.012206071056425571,0.03373796120285988,0.01495303027331829,115,0.012206071056425571,
57,True,0.01283231656998396,0.016860544681549072,0.05935328081250191,0.06256767362356186,115,0.016860544681549072,
58,True,0.011157868430018425,0.012793394736945629,0.03559685871005058,0.022277958691120148,115,0.012793394736945629,
59,True,0.01318379770964384,0.015344934538006783,0.0455981083214283,0.03712679445743561,115,0.015344934538006783,
60,True,0.013826809823513031,0.015726733952760696,0.04090641438961029,0.03518194705247879,115,0.015726733952760696,
61,True,0.010233980603516102,0.01232092548161745,0.0355406254529953,0.016220910474658012,115,0.01232092548161745,
62,True,0.011826787143945694,0.013856202363967896,0.05425432324409485,0.05200326070189476,115,0.013856202363967896,
63,True,0.010531350038945675,0.01350613497197628,0.03480927273631096,0.016802148893475533,115,0.01350613497197628,
64,True,0.01077455747872591,0.011790520511567593,0.045263614505529404,0.04441678151488304,115,0.011790520511567593,
65,True,0.012252600863575935,0.013737152330577374,0.04236595332622528,0.03396288678050041,115,0.013737152330577374,
66,True,0.01249685324728489,0.014912483282387257,0.03741711378097534,0.026593979448080063,115,0.014912483282387257,
67,True,0.009911531582474709,0.011584421619772911,0.048246826976537704,0.04886375740170479,115,0.011584421619772911,
68,True,0.011088039726018906,0.012897312641143799,0.05116324499249458,0.04743942245841026,115,0.012897312641143799,
69,True,0.009596668183803558,0.012562038376927376,0.03443862125277519,0.015863623470067978,115,0.012562038376927376,
70,True,0.010501796379685402,0.013671675696969032,0.05483553931117058,0.05149687081575394,115,0.013671675696969032,
71,True,0.010561534203588963,0.011958612129092216,0.03407052159309387,0.011373537592589855,115,0.011958612129092216,
72,True,0.012064927257597446,0.01746426895260811,0.0536867156624794,0.055677641183137894,115,0.01746426895260811,
73,True,0.01219950057566166,0.013178017921745777,0.03901924565434456,0.027651270851492882,115,0.013178017921745777,
74,True,0.011096742004156113,0.012258653528988361,0.04066529497504234,0.03689809516072273,115,0.012258653528988361,
75,True,0.011933083645999432,0.012702187523245811,0.034044984728097916,0.012212133966386318,115,0.012702187523245811,
76,True,0.011845076456665993,0.012540718540549278,0.03514784574508667,0.020117679610848427,115,0.012540718540549278,
77,True,0.009935575537383556,0.011647654697299004,0.03725145757198334,0.029301010072231293,115,0.011647654697299004,
78,True,0.011292885057628155,0.012916048988699913,0.05399074777960777,0.05127245932817459,115,0.012916048988699913,
79,True,0.012450383976101875,0.014197349548339844,0.04292396828532219,0.03206207603216171,115,0.014197349548339844,
80,True,0.0100817596539855,0.012955896556377411,0.03556123003363609,0.021370509639382362,115,0.012955896556377411,
81,True,0.012341976165771484,0.014487706124782562,0.04217182844877243,0.03359149768948555,115,0.014487706124782562,
82,True,0.010895133018493652,0.012638302519917488,0.036285754293203354,0.017733542248606682,115,0.012638302519917488,
83,True,0.011798141524195671,0.012458031997084618,0.04144105687737465,0.038182228803634644,115,0.012458031997084618,
84,True,0.010541833937168121,0.013724635355174541,0.048521652817726135,0.048178184777498245,115,0.013724635355174541,
