run,image_wake_score,image_wake_observed,centreline_low_speed_area,near_base_low_speed_area,velocity_images,velocity_slices,imputation_neighbors
0,0.03877850197553976,true,0.017176292940732352,0.07971135083288218,5,Z-4;Z-5;X-53;X-55;X-57,
1,0.11175936664484712,true,0.08548508871272179,0.19430046392552472,5,Z-4;Z-5;X-53;X-55;X-57,
2,0.09873744056086073,true,0.06457468227003901,0.18223418724559404,5,Z-4;Z-5;X-53;X-55;X-57,
3,0.08169155164058886,true,0.041891856465752275,0.162432775737966,5,Z-4;Z-5;X-53;X-55;X-57,
4,0.1411331040509459,true,0.12026996560546957,0.2325063845055756,5,Z-4;Z-5;X-53;X-55;X-57,
5,0.07873306510890984,true,0.06081225619730716,0.13623920497194467,5,Z-4;Z-5;X-53;X-55;X-57,
6,0.12151503228719832,true,0.10129608657354977,0.20262331733081673,5,Z-4;Z-5;X-53;X-55;X-57,
7,0.05002508720802104,true,0.020810525984648297,0.10428599214549579,5,Z-4;Z-5;X-53;X-55;X-57,
8,0.1518974509004773,true,0.1640849796568936,0.21578119174160604,5,Z-4;Z-5;X-53;X-55;X-57,
9,0.08149589080663742,true,0.046530137158676224,0.15720720625832516,5,Z-4;Z-5;X-53;X-55;X-57,
10,0.037527198759745944,true,0.015276991317478294,0.07869530688810386,5,Z-4;Z-5;X-53;X-55;X-57,
11,0.040076591087224445,true,0.014278448890566672,0.08580817623973863,5,Z-4;Z-5;X-53;X-55;X-57,
12,0.05403811270348723,true,0.02534525607147351,0.10974384036524217,5,Z-4;Z-5;X-53;X-55;X-57,
13,0.11065698891961617,true,0.0940451847657397,0.18295026299879716,5,Z-4;Z-5;X-53;X-55;X-57,
14,0.12324622247217319,true,0.08974219831382912,0.21846166593289618,5,Z-4;Z-5;X-53;X-55;X-57,
15,0.0841924513580682,true,0.05569580764229688,0.1549717691452662,5,Z-4;Z-5;X-53;X-55;X-57,
16,0.06787510302763539,true,0.036777505138207295,0.13295514309929216,5,Z-4;Z-5;X-53;X-55;X-57,
17,0.1124978464872093,true,0.07775103812759532,0.20352209842916938,5,Z-4;Z-5;X-53;X-55;X-57,
18,0.10872274575436655,true,0.08579311899668637,0.18622294967317368,5,Z-4;Z-5;X-53;X-55;X-57,
19,0.10837345432470852,true,0.09971766075248521,0.1713613233428197,5,Z-4;Z-5;X-53;X-55;X-57,
20,0.02379629945378361,true,0.010788138081456315,0.04859583007700729,5,Z-4;Z-5;X-53;X-55;X-57,
21,0.05247670391271904,true,0.025336867161612348,0.1058994446515854,5,Z-4;Z-5;X-53;X-55;X-57,
22,0.1257161544265483,true,0.10228964808523133,0.21222721467035446,5,Z-4;Z-5;X-53;X-55;X-57,
23,0.10456202550119444,true,0.07003560043622331,0.19151620860428423,5,Z-4;Z-5;X-53;X-55;X-57,
24,0.09177046851439355,true,0.06491364665911664,0.16477199398097533,5,Z-4;Z-5;X-53;X-55;X-57,
25,0.13336812455381072,true,0.10849534415502705,0.22500732015074243,5,Z-4;Z-5;X-53;X-55;X-57,
26,0.07648182974591561,true,0.04880877479971478,0.14255482740243133,5,Z-4;Z-5;X-53;X-55;X-57,
27,0.06056268883688161,true,0.030405341638354094,0.12105106832070477,5,Z-4;Z-5;X-53;X-55;X-57,
28,0.11182376590032649,true,0.07797255777861667,0.2016736989265885,5,Z-4;Z-5;X-53;X-55;X-57,
29,0.04996005956841298,true,0.02431944968751311,0.10054776494908195,5,Z-4;Z-5;X-53;X-55;X-57,
30,0.0735869680878733,true,0.045347563021685335,0.1388630840409479,5,Z-4;Z-5;X-53;X-55;X-57,
31,0.0735869680878733,true,0.045347563021685335,0.1388630840409479,5,Z-4;Z-5;X-53;X-55;X-57,
32,0.03280933105366002,true,0.01330140304517428,0.06858331735890365,5,Z-4;Z-5;X-53;X-55;X-57,
33,0.1147474142375048,true,0.09026283503208757,0.19678938539522847,5,Z-4;Z-5;X-53;X-55;X-57,
34,0.10837076182813471,true,0.09111168784866407,0.18054096791702567,5,Z-4;Z-5;X-53;X-55;X-57,
35,0.13082252836391298,true,0.10162220544440251,0.22541766989595904,5,Z-4;Z-5;X-53;X-55;X-57,
36,0.07711185794124864,true,0.03528506564321966,0.15739468637805965,5,Z-4;Z-5;X-53;X-55;X-57,
37,0.12040165516783553,true,0.08471540623296003,0.21635276034633968,5,Z-4;Z-5;X-53;X-55;X-57,
38,0.06384989630477943,true,0.03339520154355941,0.12623380526362724,5,Z-4;Z-5;X-53;X-55;X-57,
39,0.0486665890940582,true,0.0199244473805629,0.10169427258766801,5,Z-4;Z-5;X-53;X-55;X-57,
40,0.12000091811883898,true,0.11656495113460005,0.18352646594356917,5,Z-4;Z-5;X-53;X-55;X-57,
41,0.10954779773112451,true,0.07649375026215344,0.1974615051353403,5,Z-4;Z-5;X-53;X-55;X-57,
42,0.0864340931187311,true,0.04963062581267565,0.16659651961063118,5,Z-4;Z-5;X-53;X-55;X-57,
43,0.11710611799551775,true,0.0918672140430351,0.20104665867594096,5,Z-4;Z-5;X-53;X-55;X-57,
44,0.11741473943438584,true,0.1077867434251919,0.18592902016710308,5,Z-4;Z-5;X-53;X-55;X-57,
45,0.13480146053800168,true,0.11731549641374103,0.21976602200188042,5,Z-4;Z-5;X-53;X-55;X-57,
46,0.09238860778873452,true,0.07580454888637222,0.1553707436922068,5,Z-4;Z-5;X-53;X-55;X-57,
47,0.13630857952330844,true,0.11212721781804455,0.22856536982384593,5,Z-4;Z-5;X-53;X-55;X-57,
48,0.07885151380175778,true,0.06786890231114467,0.1290336488195423,5,Z-4;Z-5;X-53;X-55;X-57,
49,0.09587273576451748,true,0.07033104735539616,0.16952050730575619,5,Z-4;Z-5;X-53;X-55;X-57,
50,0.1086000717094707,true,0.08689704710372886,0.18472324914984437,5,Z-4;Z-5;X-53;X-55;X-57,
51,0.028638593641467345,true,0.011562277169581813,0.059908394545241335,5,Z-4;Z-5;X-53;X-55;X-57,
52,0.12017025598562592,true,0.09471393817373433,0.20566667439056674,5,Z-4;Z-5;X-53;X-55;X-57,
53,0.06736326455884638,true,0.0320485193574095,0.13646853458657124,5,Z-4;Z-5;X-53;X-55;X-57,
54,0.08899690085965162,true,0.056762247808397295,0.16571992717064413,5,Z-4;Z-5;X-53;X-55;X-57,
55,0.0889997142956714,true,0.06134285474602576,0.1613349988870562,5,Z-4;Z-5;X-53;X-55;X-57,
56,0.0776363381771215,true,0.047480181200453,0.14683176151967028,5,Z-4;Z-5;X-53;X-55;X-57,
57,0.14678789583013013,true,0.14559031710079273,0.2212780807653121,5,Z-4;Z-5;X-53;X-55;X-57,
58,0.12289359760059965,true,0.10661150958432952,0.20095635926246583,5,Z-4;Z-5;X-53;X-55;X-57,
