run,ratio_length_back_fast,ratio_height_nose_windshield,ratio_height_fast_back,side_taper,clearance,bottom_taper_angle,frontal_area
0,0.4048268195368154,0.4618718859680671,0.5505324470963537,73.17005386809745,54.41694901144185,42.25716095836122,0.11415600384817493
1,0.2648268195368152,0.3818718859680672,0.0362467328106395,86.8064175044611,185.95541054990335,45.13951389953769,0.11834229570404219
2,0.451493486203482,0.5418718859680671,0.6791038756677823,91.35187204991564,156.72464131913415,27.84539625247887,0.11741143717883727
3,0.1714934862034819,0.6218718859680672,0.1648181613820681,95.8973265953702,98.2631028575957,19.198337428949447,0.11554969193205832
4,0.311493486203482,0.5098718859680671,0.807675304239211,50.442781140824735,25.186179780672635,7.668925664243569,0.11322249304186348
5,0.4981601528701487,0.3498718859680672,0.2933895899534965,64.07914477718836,142.1092567037495,48.02186684071416,0.11694602904789964
6,0.2181601528701486,0.4298718859680672,0.5688997940351294,54.98823568627928,127.49387208836492,4.7865727230671,0.11648049951958471
7,0.3581601528701487,0.5898718859680672,0.4403283654637006,82.26096295900655,39.80156439605724,1.904219781890628,0.11368793164242186
8,0.0937157084257042,0.5258718859680671,0.6974712226065578,59.53369023173383,10.570795165288011,10.551278605420038,0.11275711492931535
9,0.2337157084257041,0.3658718859680672,0.1831855083208436,72.7568307276016,69.03233362682647,39.37480801718475,0.11461877050725072
10,0.4203823750923709,0.4458718859680671,0.8260426511779865,68.21137618214705,171.34002593451876,22.08069037012592,0.1178769732440743
11,0.2803823750923708,0.6858718859680671,0.5321651001575782,90.93864890941978,125.24535137830576,36.49245507600828,0.11640888048799722
12,0.4670490417590376,0.4938718859680672,0.4035936715861495,95.48410345487432,198.3222744552288,30.72774919365534,0.11873614057101924
13,0.1870490417590374,0.3338718859680672,0.017879385871864,50.02955800032887,169.09150522445958,13.433631546596509,0.11780535670772191
14,0.3270490417590376,0.4138718859680672,0.6607365287290068,63.6659216366925,110.62996676292111,44.12221286147541,0.11594357127100122
15,0.3892712639812599,0.5738718859680672,0.1464508144432926,54.57501254578341,37.55304368599806,18.18103639088717,0.11361637720616535
16,0.2492712639812597,0.4778718859680672,0.275022243014721,77.30228527305613,139.86073599369035,29.710448155593053,0.11687440756300015
17,0.4359379306479264,0.3178718859680672,0.6423691817902314,59.12046709123796,52.16842830138268,21.06338933206364,0.11408175175997874
18,0.1559379306479264,0.3978718859680672,0.5137977532188027,76.06261585156854,96.01458214753652,9.533977567357754,0.11547805402104237
19,0.2959379306479265,0.5578718859680671,0.1280834675045171,71.51716130611399,22.937659070613464,49.886918743828346,0.11315086711079214
20,0.4826045973145931,0.6378718859680672,0.7709406103616598,89.69897948793218,81.39919753215192,6.651624626181286,0.11501266567498666
21,0.3996416343516302,0.3882718859680672,0.3852263246473741,53.33534312429581,126.36961173333536,12.416330508534228,0.11644468761568089
22,0.1196416343516301,0.5482718859680672,0.6056344879126803,66.97170676065944,199.4465348102584,41.23985992029893,0.11876817208041052
23,0.25964163435163,0.6282718859680672,0.4770630593412517,57.88079766975036,170.2157655794892,23.945742273240107,0.1178411322540062
24,0.4463083010182968,0.5162718859680672,0.091348773626966,85.15352494247762,111.75422711795072,26.82809521441658,0.1159790841860104
25,0.1663083010182968,0.3562718859680672,0.7342059164841088,80.60807039702308,38.67730404102765,38.35750697912246,0.11365212024274177
26,0.3063083010182968,0.4362718859680672,0.2199202021983946,62.4262522152049,155.60038096410457,32.59280109676952,0.11737566431924278
27,0.2129749676849634,0.6762718859680672,0.348491630769823,72.34360758710572,53.29268865641227,42.93536165040274,0.11411762526491895
28,0.3529749676849635,0.5322718859680672,0.6240018348514558,90.52542576892392,97.1388425025661,16.9941851798145,0.11551384745863082
29,0.3685305232405191,0.3722718859680672,0.4954304062800272,95.07088031437846,24.061919425643048,45.81771459157921,0.11318669630516096
30,0.4151971899071858,0.6922718859680672,0.23828754913717,67.79815304165118,63.411031851678544,8.347126356285091,0.11443973904666373
31,0.1351971899071857,0.5002718859680672,0.8811446919943129,58.70724395074209,121.872570313217,48.70006753275568,0.11443973904666373
32,0.4618638565738524,0.4202718859680672,0.5872671409739048,81.43451667801482,165.71872415937082,2.582420473932151,0.11769795779303809
33,0.1818638565738523,0.5802718859680671,0.4586957124024762,63.25269849619664,107.25718569783236,34.288302826873334,0.11583612993150322
34,0.3218638565738524,0.6602718859680672,0.0729814266881905,75.64939271107266,34.18026262090931,11.22947929746156,0.11350884900066252
35,0.3840860787960747,0.4842718859680671,0.7158385695453333,71.10393816561813,151.1033395439862,40.05300870922627,0.11723241327480668
36,0.1040860787960746,0.3242718859680672,0.2015528552596191,89.2857563474363,136.4879549286016,22.75889106216744,0.11676695210224707
37,0.2440860787960745,0.4042718859680672,0.8444099981167619,93.83121089289084,48.79564723629393,25.64124400334392,0.11397431289492786
38,0.4307527454627413,0.5642718859680672,0.3301242838310476,98.3766654383454,92.64180108244776,37.1706557680498,0.11537065663004846
39,0.2907527454627413,0.4650718859680672,0.4088414849972283,66.55848362016357,78.02641646706316,14.11183223863803,0.11490522528314123
40,0.4774194121294079,0.3050718859680671,0.0231271992829427,57.46757452925449,180.33410877475544,41.40941009330931,0.11816325307340171
41,0.1974194121294078,0.3850718859680672,0.6659843421400855,84.74030180198176,62.28677149664895,15.468233622721076,0.11440396639942113
42,0.337419412129408,0.5450718859680672,0.1516986278543713,80.19484725652721,120.7483099581874,44.29176303448578,0.11626568515977291
43,0.2544564491664449,0.3530718859680672,0.5557802605074325,70.69071502512226,106.13292534280278,6.821174799191668,0.11580032400597602
44,0.1611231158331116,0.5930718859680673,0.0414945462217182,93.41798775239498,149.9790791889566,3.9388218580151952,0.11719666799642839
